name allegiance death_season death_episode killer death_category death_method  // This is the order of input lines, DELETE THIS BEFORE USING
164 // This is the number of input lines in the file, DELETE THIS COMMENT (but not the number) BEFORE USING
Waymar_Royce Night's_Watch 1 1 White_Walker Blade Ice_sword
Gared Night's_Watch 1 1 White_Walker Blade Ice_sword
Elyas_Willum Baratheon 1 1 Ned_Stark Blade Sword_(Ice)
Fletcher_Will None 1 1 Ned_Stark Blade Sword_(Ice)
Will Night's_Watch 1 1 Ned_Stark Blade Sword_(Ice)
Will_(orphan) None 1 1 Ned_Stark Blade Sword_(Ice)
Willam_Wells Martell 1 1 Ned_Stark Blade Sword_(Ice)
Willem_Lannister House_Lannister 1 1 Ned_Stark Blade Sword_(Ice)
William_Mooton Tully 1 1 Ned_Stark Blade Sword_(Ice)
Willis_Wode Arryn 1 1 Ned_Stark Blade Sword_(Ice)
Willit Lannister 1 1 Ned_Stark Blade Sword_(Ice)
Willow_Witch-eye Wildling 1 1 Ned_Stark Blade Sword_(Ice)
Willum Tully 1 1 Ned_Stark Blade Sword_(Ice)
Josua_Willum Baratheon 1 1 Ned_Stark Blade Sword_(Ice)
Barristan_Selmy Targaryen 5 4 Son_of_the_Harpy Blade Knife
Alys_Karstark Stark 8 3 Wight Unknown Unknown
Mycah Stark 1 2 Sandor_the_Hound_Clegane Unknown Unknown_(likely_a_sword)
Lady_of_the_Leaves None 1 2 Ned_Stark Blade Knife
Val Wildling 1 4 Gregor_the_Mountain_Clegane Polearm Spear
Hugh House_Arryn 1 4 Gregor_the_Mountain_Clegane Polearm Spear
Wun_Weg_Wun_Dar_Wun Wildling 6 9 Ramsay_Bolton Arrow Arrow
Lord_of_Bones Wildling 5 8 Tormund Bludgeon Club
Pycelle House_Lannister 6 10 Qyburns_Little_Birds Blade Knife
Lancel_Lannister Lannister 6 10 Cersei_Lannister Fire/Burning Wildfire
High_Sparrow None 6 10 Cersei_Lannister Fire/Burning Wildfire
Kevan_Lannister House_Lannister 6 10 Cersei_Lannister Fire/Burning Wildfire
Mace_Tyrell House_Tyrell 6 10 Cersei_Lannister Fire/Burning Wildfire
Loras_Tyrell Tyrell 6 10 Cersei_Lannister Fire/Burning Wildfire
Margaery_Tyrell House_Tyrell 6 10 Cersei_Lannister Fire/Burning Wildfire
Jory_Cassel Stark 1 5 Jaime_Lannister Blade Knife
Wallen Wildling 1 6 Robb_Stark Blade Sword
Stiv Wildling 1 6 Theon_Greyjoy Arrow Arrow
Vardis_Egen Arryn 1 6 Bronn Blade Sword
Viserys_Targaryen House_Targaryen 1 6 Khal_Drogo Fire/Burning Molten_gold
Robert_Baratheon House_Baratheon 1 7 Boar Animal Tusk
Vayon_Poole Stark 1 8 Lannister_soldier Blade Sword
Mord House_Arryn 1 8 Lannister_soldier Blade Sword
Mordane House_Stark 1 8 Lannister_soldier Blade Sword
Syrio_Forel House_Stark 1 8 Meryn_Trant Blade Sword
Mago None 1 8 Khal_Drogo Hands Hands
Drogo Targaryen 1 9 Mirri_Maz_Duur Blade Knife
Qotho None 1 9 Jorah_Mormont Blade Sword
Ned_Stark House_Stark 1 9 Ilyn_Payne Blade Sword_(Ice)
Drogo Targaryen 1 10 Daenerys_Targaryen Household_item Pillow
